Model,ModelSize,TextVQA,POPE,AI2D,ChartQA,ScienceQA,MMMU,MMBench,MathVista,AverageScore
"InternLM-XComposer2.5","8","78.2","87.9","81.6","N/A","96.6","42.9","82","63.7","76.13"
"InternVL2-8B","8","N/A","84.2","83.6","N/A","97.1","51.2","82","58.3","76.07"
"Ovis1.5-Llama3-8B","8","74","88.5","82.5","76.4","88.8","48.3","80.8","63","75.29"
"InternVL2-4B","4","74.7","84.6","79","80.7","96.3","48.3","78.5","58.1","75.03"
"InternLM-XComposer2","7","69.7","83","81.2","71.8","96.7","41.4","80.7","59.5","73.00"
"MiniCPM-Llama3-V2.5","8","N/A","86.7","78.4","N/A","89.2","45.8","77.6","54.3","72.00"
"Phi-3-Vision","4.2","72.4","83.7","78.4","81.8","90","46.1","73.6","44.6","71.33"
"WeMM","7","N/A","86.7","77.9","N/A","83.3","45.3","79.3","54.9","71.23"
"GLM-4v-9B","9","N/A","89.4","71.2","N/A","96.7","46.9","71.4","51.1","71.12"
"Mini-InternVL-Chat-4B-V1.5","4","N/A","81.4","77","N/A","92.6","45.1","75.7","54.6","71.07"
"IDEFICS2-8B","8","68.9","86.2","72.3","N/A","88.7","45.2","75.7","52.2","69.89"
"Cambrian-8B","8","72.6","86.4","74.6","72.6","81","41.8","74.6","47","68.83"
"Monkey-Chat","9.8","65.5","83.5","68.5","59.5","82.4","40.7","72.4","35.9","63.55"
"DeepSeek-VL-7B","7.3","64.9","85.6","65.3","59.1","80.9","38.3","73.8","36.9","63.10"
"LLaVA-Next-Interleave-7B-DPO","8","56.7","84.2","74","49.1","72.7","41.8","75.9","35.5","61.24"
"LLaVA-Next-Mistral-7B","7.6","65.2","87.3","69","51.8","73","37","69.6","34.6","60.94"
"LLaVA-Next-Vicuna-7B","7.1","64.4","87.5","67","55.4","70.3","37.6","69.2","31.5","60.36"
"LLaVA-LLaMA-3-8B","8","52","87.3","69.9","50.4","72.2","39.2","71.7","40","60.34"
"InternLM-XComposer2-4KHD","7","N/A","2.9","81","N/A","96.3","39.7","80.2","59.4","59.92"
"Monkey","9.8","65.8","83.7","62.5","59","72.1","38.9","59.6","33.5","59.39"
"LLaVA-Next-Llama3","8","52.8","79.3","68.7","42.7","73.9","38.4","71.2","33.6","57.57"
"InternLM-XComposer","8","38.5","70.9","56.9","N/A","89.8","35.6","74.4","29.8","56.56"
"Qwen-VL-Chat","9.6","60.7","74.9","63","49.8","68.8","37","61.8","34.9","56.36"
"ShareCaptioner","8","38","84.4","56.7","N/A","82.3","36.3","66.5","29.1","56.19"
"LLaVA-InternLM2-7B (QLoRA)","8.1","49.3","87.8","63.6","16","73.7","40.1","73.3","26","53.73"
"ShareGPT4V-7B","7.2","51.1","86.6","58","21.3","69.5","37.2","67.6","26.5","52.22"
"mPLUG-Owl2","8.2","56.4","84.6","55.7","22.8","69.5","34.7","66","25.4","51.89"
"Yi-VL-6B","6.6","44.8","82.5","59.8","15.5","72.6","40.3","68.4","29.7","51.70"
"LLaVA-InternLM-7B (QLoRA)","7.6","45.8","86","58","15.8","68.4","36.9","69","27.1","50.88"
"LLaVA-v1.5-7B (QLoRA)","7.2","49.7","87.2","55.9","18.7","68.7","33.7","67.7","25.1","50.84"
"LLaVA-v1.5-7B","7.2","45.5","86.1","55.5","17.8","69.2","35.7","66.5","25.6","50.24"
"Qwen-VL","9.6","63.1","70","57.7","59","61.1","29.6","32.2","15.5","48.53"
"LLaVA-v1-7B","7.2","N/A","75.9","48.3","N/A","61.8","34.1","43.8","25.2","48.18"
"IDEFICS-9B-Instruct","9","N/A","81.9","42.2","N/A","53.5","18.4","45.3","21.1","43.73"
"VisualGLM","8","N/A","70.4","41.2","N/A","56.1","29.9","37.6","21.9","42.85"
"MMAlaya","7.8","27.1","82.7","42.3","10.2","60.9","32","58.7","22.7","42.08"
"InstructBLIP-7B","8","33.6","86.1","40.6","10.9","54.1","30.6","33.9","24.4","39.27"
"MiniGPT-4-v2","8","N/A","60","30.5","N/A","54.7","25","9.4","23.1","33.78"
"Chameleon-7B","7","N/A","19.4","46","N/A","46.8","22.4","15.4","22.3","28.72"
"OpenFlamingo v2","9","16.3","52.6","31.7","N/A","44.8","28.8","5.7","18.6","28.36"
"MiniGPT-4-v1-7B","8","N/A","34.6","28.4","N/A","39.6","23.6","23","20.4","28.27"
